Title,Alternative Title,Period,Area,Home Institution,Editor,Language,Category,URL,Access,Description,Last Modified,Contact
Manchukuo Collection,,premodern,"Japan,China",Harvard University,Harvard University,English,"archive,curated collection,database,visual tools",https://projects.iq.harvard.edu/hylj/manchukuo-collection,open access,"The Manchukuo collection was purchased by the Harvard-Yenching Library in 2015. It consists of books, journals, newspapers, maps, posters, and some ephemera, including fans and scrapbooks.",12/14/2023 4:45pm,
Mao Kun Explorer,,premodern,"China,Asia",Ryan Carpenter,Ryan Carpenter,English,"maps/mapping,visual tools,curated collection,data set/statistics",https://zhenghe.rslc.us/,open access,"Mao Kun Explorer is a digital mapping project tracing the travels of Zheng He is the Ming Dynasty. The top-half of the screen is a Chinese map that represents the Ming Dynasty's best understanding of Southeast Asia and the Indian Ocean.

Starting from the imperial palace in Nanjing, it follows the Yangtze River to the coast, heads south around the Malay Peninsula and crosses the ocean, past India to the island of Hormuz. The coast of Africa doubles back along the bottom of the map, reaching all the way to Mozambique. All this territory is contorted and compressed into a long, narrow map that could be woodblock-printed onto a single scroll or twenty pages of a book. The data displayed in this map is available in CSV and GeoJSON formats.",12/14/2023 2:19pm,
Maoist Legacy,毛泽东时代遗产数据库,modern,China,University of Freiburg,Daniel Leese,"English,Chinese","archive,curated collection,searchable catalog",https://www.maoistlegacy.de/db/,open access,"The Maoist Legacy Database (MLD) supports the project by making sources available to the wider scholarly community. It contains a carefully curated selection of thousands of documents and images on issues related to dealing with the legacies of the Maoist era. The documents have mostly been taken from party and state guidelines on how to deal with “lingering historical issues” (lishi yiliu wenti). These official documents have been supplemented with internally circulated collections of model cases, oral history transcripts of interviews we conducted, and other relevant materials. A selection of key documents have been translated into English to ease comparative work for scholars with no background in China studies. In compiling the database, we have strictly followed German copyright and privacy laws. The database is solely intended for scholarly, non-commercial use.",12/14/2023 2:20pm,
Mapping Advertising Space in modern Shanghai (MADSpace),,"modern,premodern","China,Taiwan,East Asia","Cécile Armand, Aix-Marseille Université","Cécile Armand, Aix-Marseille Université",English,"visual tools,maps/mapping,research project,archive,database,bibliography,data set/statistics",http://madspace.org/,open access,"Research platform devoted to the history of advertising and consumer society in modern China. Born as a digital companion to a PhD dissertation, it has developed into a permanent repository for storing primary materials, an open laboratory for analyzing cooked data, and a public interface for publishing historical narratives and other resources, in a spirit of transparency, sharing, and collaboration.  ",12/14/2023 2:19pm,
Mapping Digital Collections on Chinese Studies in the US and Canada,,modern,China,George Washington University,George Washington University,English,"database,visual tools,maps/mapping,data set/statistics",https://arcg.is/1WbaGO0,open access,An ArcGIS database mapping digital collections on Chinese Studies at libraries in the United States and Canada. Currently the mapping tool is in Round 2 of its test phase. The data (digital collections) used in this map only represent some samples and information will be continually updated. The interface and funcations are subject to change.,12/14/2023 2:19pm,
Maritime Asia: War and Trade,,premodern,"Asia,East Asia","Adam Clulow, Xing Hang","Adam Clulow, Xing Hang",English,"pedagogy,visual tools,curated collection,archive",https://maritime-asia.org/,open access,"Maritime Asia: War and Trade is a collaboration between Associate Professor Adam Clulow, Associate Professor Xing Hang, and the Roy Rosenzweig Center for History and New Media at George Mason University. It features timelines, sources, online exhibits, and other materials for exploring and teaching about maritime trade, war, and exchange in Asia in the early modern period.",12/14/2023 2:19pm,
Massline.org,,modern,China,Unclear,Unclear,English,archive,http://www.massline.org/,open access,"Extensive collection of digitised copies of People's China (1950-57), and Peking Review (1958-2016) (in English, Japanese, Spanish, German and French).",12/14/2023 2:19pm,
Medicine and Religion in China,,premodern,"East Asia,China,Asia",Michael Stanley-Baker,Michael Stanley-Baker,English,"text mining,archive,database,research project,data set/statistics,network analysis,visual tools",https://michaelstanley-baker.com/digital-humanities/,open access,"Buddhist, Daoist Medical sources and analytical methods.",12/14/2023 2:19pm,
Migration to New Worlds,,modern,"Japan,Korea,China,Mongolia,Taiwan",Adam Matthew Digital,Adam Matthew Digital,English,"archive,curated collection,database",http://www.migration.amdigital.co.uk/,open access,"Migration to New Worlds explores the movement of peoples from Great Britain, Ireland, mainland Europe and Asia to the New World and Australasia. Split across two modules, and including collections from 26 archives, libraries and museums, Migration to New Worlds brings together the movement and memories of millions across two centuries of mass migration.",12/14/2023 2:19pm,
Ming Qing Women's Writings,,premodern,China,McGill University,McGill University,English,"archive,curated collection,database",https://digital.library.mcgill.ca/mingqing/,open access,"Recent decades have witnessed strong interest in Chinese women's literature, history, and culture of the Ming (1368-1644) and Qing (1644-1911) periods among scholars, researchers, and students in China, Taiwan, Hong Kong, North America, Europe, and elsewhere in the world. Chinese women's writings constitute a significant resource for ground-breaking research. They have opened up critical perspectives and enriched our knowledge of many aspects of Chinese culture and society. Close to 5000 collections of poetry and other writings by individual women are recorded for the Ming and Qing periods. However, less than a quarter of these materials have survived the ravages of history, and these have mostly ended up in rare book archives in libraries in China that are difficult to access.

The Ming Qing Women's Writings digital archive and database project is dedicated to the digitization of collections of writings by women in late imperial China (1368-1911). The website was launched in 2005. The on-going project employs new digital technology to preserve and make accessible on the internet this valuable cultural legacy for future generations of scholars, researchers, and other interested publics, thus building intellectual and technological infrastructure and creating possibilities to generate new methodologies in the fields of digital humanities and China studies. The website consists of a virtual library augmented by the online scholarly apparatus designed and implemented by the McGill Library Digital Initiatives team. In addition, it features a link for each writer to the China Biographical Database hosted at Harvard University.",12/14/2023 2:19pm,
Missionary Research Pamphlets (Series 5: East Asia),,modern,"East Asia,Asia",Columbia University,Columbia University,English,"archive,database,curated collection",https://archive.org/details/columbiamrlpamphlets,open access,"Global in scope and including materials from as far back as the 18th century, the Missionary Research Library (MRL), housed at the Burke Library, chronicles world history and the efforts of Protestant missionaries both in the United States and abroad. The MRL contains over 20,000 pamphlets (among other items). The MRL was founded in 1914 by John R. Mott (with funding from John D. Rockefeller, Jr.) in connection with the Foreign Missions Conference of North America. The MRL Archives contains collections of named missionaries’ papers and institutional records within 12 geographic divisions:

Series 1. Africa
Series 2. Near/Middle East
Series 3. South Asia
Series 4. Southeast Asia
Series 5. East Asia
Series 6. China
Series 7. Japan
Series 8. Korea
Series 9. Latin America
Series 10. North America
Series 11. Australia and Oceania
Series 12. Ecumenical/World Mission",12/14/2023 2:19pm,
Morrison Collection,,modern,"China,Hong Kong,East Asia,Asia",University of Hong Kong,University of Hong Kong,English,"archive,curated collection,visual tools,database",https://digitalrepository.lib.hku.hk/collection/1g05g605q,open access,"Morrison Collection is the first major rare book collection that the Library received. The history of this collection goes back to 1806 when a library was set up by the members of the English Factory in Canton. The collection later formed the basis of the library of the Morrison Education Society set up as a memorial to the Rev. Robert Morrison, D.D. who died in 1834. The Morrison Education Society’s library first moved to Macao in 1841 and then to Hong Kong in 1842. In 1869 the collection became part of the stock of the newly opened City Hall Library, but a few years later it was loaned to the newly established University of Hong Kong in 1914. In 1925 the collection was made over permanently to the University. Selected titles from Morrison Collection have been digitized to provide open access.",12/14/2023 2:19pm,
Multi-database Search System for Historical Chinese Characters,,"premodern,modern","East Asia,China,Japan,Korea"," Institute of History and Philology, Academia Sinica; Academia Sinica Center for Digital Cultures "," Institute of History and Philology, Academia Sinica; Academia Sinica Center for Digital Cultures ",English,"database,text mining",https://wcd-ihp.ascdc.sinica.edu.tw/union/en/search.php,open access,"The Multi-database Search System for Historical Chinese Characters is a search system that allows you to simultaneously search through two million high-definition images of historical Chinese characters provided by separate organizations. The project is a collaborative effort to promote the cooperation and sharing of data between several international and domestic organizations. To ensure that both domestic and international organizations could easily join in the project, the Search System complies with the International Image Interoperability Framework (IIIF).",12/14/2023 2:19pm,
Music Manuscripts of LAI Cho-tin,,"premodern,modern",China,University of Hong Kong Libraries,University of Hong Kong Libraries,English,"archive,curated collection,visual tools,database",https://digitalrepository.lib.hku.hk/laichotin,open access,"Mr. Lai Cho-tin (1921-1994) was one of Hong Kong’s most respected composers and music directors. Not only had he composed and arranged a large number of popular songs and chorus, but he had also created many film scores and theme songs to locally produced movies and stage plays. Mr. Lai was also active in the promotion of choral music by creating and arranging music for choirs as well as conducting choirs. He was famous in composing Cantonese dialect songs for the choirs too.",12/14/2023 2:19pm,
National Taiwan University Digital Library of Buddhist Studies,,"premodern,modern",Taiwan,National Taiwan University,National Taiwan University,English,"curated collection,archive,bibliography,database",http://buddhism.lib.ntu.edu.tw/ ,open access,The NTU Digital Library of Buddhist Studies is devoted to devoted to collecting Buddhist bibliographies with a database of full text Buddhist articles in 47 languages and 15 different types of data.,12/14/2023 2:19pm,
"Naxi manuscripts collection, 1826-1910",,modern,China,Harvard University,Harvard University,English,"archive,curated collection,database,visual tools",https://hollisarchives.lib.harvard.edu/repositories/25/resources/4415,open access,"Collection of pictographic manuscripts, used in performing religious rituals by the Naxi community. The Naxi (Chinese people) are an ethnic minority in the northwestern part of Yunnan Province in China, near the borders of Tibet and Burma. The population is estimated to be around 250,000, and made up largely of farmers and traders. The Naxi language is the only remaining living pictographic language today. This collection contains 598 ceremonial manuscripts and 3 funereal scrolls written in a pictographic script. Often, during the religious rituals, the edges of the books are burned, resulting in damage to the manuscript. Only 21 of the manuscripts are dated, the earliest being from 1826 and the latest from 1910.",12/14/2023 2:19pm,
Norman Spencer Photographs of China,,modern,China,University of California San Diego,University of California San Diego,English,"curated collection,archive,visual tools,database",https://library.ucsd.edu/dc/collection/bb27365786,open access,"Norman A. Spencer, Ph.D. has taught at universities in Africa, China, and the U.S. including the China Communications University in Beijing. From 1999 to 2019 he repeatedly traveled to China documenting notable artists, writers, directors and musicians active in the Chinese independent and underground film and art scene. Most of the photographs were taken in Beijing and later in Dali in Yunnan Province in the southwest of China. Dali is considered a “free zone” where celebrities, artists, writers, and musicians intermingle and celebrate life with local ethnic minorities and with young Chinese who choose to live on the margins of mainstream society. Spencer also documented well known Chinese artists and writers who live in exile in New York City, London, and Paris. Spanning more than twenty years, the photographs in this collection capture a rare glimpse into the lives of the Chinese film and art scene at the turn of the 21st century. Descriptions of the images were provided by Norman Spencer and his wife, Xiaojian Peng.",12/14/2023 2:19pm,
Online Index of Chinese Buddhism,,"premodern,modern",China,Gregory Adam Scott,Gregory Adam Scott,English,"archive,bibliography,pedagogy,dictionary",http://www.buddhiststudies.net/oicb.html,open access,"A list of resources (including language and fonts, texts, dictionaries, groups/associations, bibliographies, guides, etc.) potentially useful to scholars and researchers studying Buddhist religious traditions in China.",12/14/2023 2:19pm,
Online Spiritual Atlas of the Global East (OSAGE),,modern,"China,Japan,Hong Kong,Korea","Purdue University, Center on Religion and the Global East","Purdue University, Center on Religion and the Global East",English,"maps/mapping,visual tools,research project",https://www.globaleast.org/osage/,open access,"OSAGE allows users to visualize the spatial distribution of individual religious sites in the Global East, as well as see how geographic regions compare with each other in terms of the number of religious sites. ",12/14/2023 2:19pm,
Palmer & Turner Collection,,modern,"East Asia,Asia",University of Hong Kong Library,University of Hong Kong Library,English,"archive,database,curated collection,visual tools",https://digitalrepository.lib.hku.hk/pnt,open access,"The P&T Group Collection is composed of visual and textual material related to over 500 design projects proposed, designed, and/or completed by the P&T Group, one of the oldest continuously operating architectural practices in the world. The collection includes more than 15,000 individual documents and objects, primarily architectural drawings, dated between 1932 and 2012, for individual architectural and urban planning projects in Hong Kong, Macau, mainland China, Taiwan, Singapore, Indonesia, Thailand and Vietnam. Other records include contracts and legal documents.",12/14/2023 2:19pm,
Pedro Loureiro Collection,,modern,"China,Japan",University of Southern California,University of Southern California,English,"database,archive,curated collection,visual tools",https://digitallibrary.usc.edu/Archive/Pedro-Loureiro-Collection-2A3BF1O9DRP?Flat=1,open access,Declassified documents relating to American military intelligence efforts in China during the 1920s-1930s to monitor Japanese military and political activities.,12/14/2023 2:19pm,
People's Map of Global China ,,,,It is a collaborative project by people from different institutions. ,,,,https://thepeoplesmap.net/,open access,"The People’s Map of Global China tracks China’s complex and rapidly changing international activities by engaging an equally global civil society. UWe actively bring together researchers and civil society organisations from across the world with in-depth and grounded knowledge about China’s global imprints. We draw on their expertise to build this Open Access and interactive archive to provide information about Global China that can be updated and referenced, reflecting also the ever-evolving nature of China’s international engagements. The Map consists of profiles of countries and projects, sortable by project parameters, Chinese companies and banks involved, and their social, political, and environmental impacts. This collaborative initiative aims to provide an information infrastructure that reflects not only global and international dynamics, but also supports the articulation of local voices often marginalised by political and business elite",9/22/2024 12:57pm,
Plants of Taiwan,,modern,Taiwan,"Institute of Ecology and Evolutionary Biology, NTU","Institute of Ecology and Evolutionary Biology, NTU",English,"archive,database",https://tai2.ntu.edu.tw/,open access,"This is a database of scientific names, synonyms and other names (in Chinese, Taiwanese, English, and aboriginal languages) for nearly 5400 plant species in Taiwan. Information of this database is derived mainly from Flora of Taiwan. Other literature, such as List of Plants of Formosa (Yang, 1982) provides additional information. In addition to plant names, the descriptions in Flora of Taiwan and ecological photographs are included in this database.",12/14/2023 2:19pm,
Polyglot Asian Medicines,,"premodern,modern","China,Asia",Michael Stanley Baker,Michael Stanley Baker,English,"archive,curated collection,data set/statistics,visual tools,dictionary,research project",https://www.polyglotasianmedicine.com/,open access,"This site addresses  the intersection of traditional medical systems and languages, framed here as “polyglot medicine.” taking maritime Southeast Asia as a starting point, with Singapore at the centre, it provides resources and tools for studying how these medical cultures compare, contradict or overlap.

It begins with the work of three scholars had independently studied
Chinese medical conceptualisations of Malay medicinal plants
the intersection of medicine with religion in Malay healing
medicinal plant use and tribal languages near East Timor

It provides
TEXTS for close reading
a SYNONYMY to translate across languages and epistemes,
TOOLS for further research, such as maps and a script convertor,
and ethnographic videos of modern-day PRACTICE.

TEXT CORPUS
The Chinese corpus contains 392 digital editions of early medical manuscripts from 200 CE to the Republican Era.  These are transcribed from manuscripts, woodblock prints and lithographs held in libraries across China. The Malay corpus contains twelve digital editions of Malay manuscripts and print editions held in Leiden, Kuala Lumpur and the British Library.  All have been hand-typed, segmented, and digitally tagged, by teams under Liu Changhua 柳長華 of the China Academy of Chinese Medical Science and Faizah Zakariah. They were then hosted in the DocuSky system by teams with Michael Stanley-Baker 徐源 at Nanyang Technological University and Yi-mei Hung 洪一梅 of National Taiwan University.  Michael Goodman wrote a digital tool to convert Jawi text to Rumi and back.",12/14/2023 2:19pm,
Posters of the Chinese Independent Film Festivals,,modern,China,"University of California, SanDiego","University of California, SanDiego",English,"archive,curated collection,visual tools",https://library.ucsd.edu/dc/collection/bb6356352v,open access,"Chinese Independent Film Festival posters and ephemera from the Li Xianting Film Fund Archive and REEL China Film Festival that occurred during 2004 to 2016. REEL China was an influential Chinese documentary film festival biennial organized by the New York City–based Chinese artist Zhang Pingjie that introduced Chinese independent and underground documentary film first to Americans and later to Chinese audiences mostly in Shanghai. Beijing Independent Film Festival and China Documentary Film Festival were organized by the prominent public intellectual Li Xianting in the artist village Songzhuang on the outskirts of Beijing and functioned as the premier alternative culture venues for independent cinema in China. Inspired by Unrestricted New Image Festival (2001) at Beijing Film Academy and First Chinese Gay and Lesbian Film Festival (2001) at Beijing University, they openly challenged the status quo by screening films that depicted taboo subjects such as social and gender inequality, the flaws and injustice of corrupt local government officials, and the lives of the LGBTQ community. Many of the films depicted the customs and life in remote areas of China as well as the experience of Chinese living on the margins of society.
",12/14/2023 2:19pm,
Primary Sources on Taiwan,,modern,Taiwan,"Evan Dawley, Wayne Soon, Dominic Meng-Hsuan Yang, Harry Yi-Jui Wu, Fei-Hsien Wang, Joseph Lawson, Huei-Ying Kuo, Fang Yu Hu, Ja Ian Chong, Andrea Jung-An Liu, John Mahoney","Evan Dawley, Wayne Soon, Dominic Meng-Hsuan Yang, Harry Yi-Jui Wu, Fei-Hsien Wang, Joseph Lawson, Huei-Ying Kuo, Fang Yu Hu, Ja Ian Chong, Andrea Jung-An Liu, John Mahoney",English,"curated collection,pedagogy,visual tools",https://taiwanprimarysources.com/,open access,"Contributors to this project are scholars from all over the world, and they have translated materials from their research and teaching. These translations have been sorted by chronology as well as broad categories of subject matter. What unites them is that they are primarily non-fictional, complementing the growing anthologies on Taiwanese literary studies. This is a living project: the current translations may contain some typos, and we are always interested in expanding the collection. We hope you will consider using these sources freely for your classes in East Asian histories and studies.",12/14/2023 2:19pm,
Princeton Oracle Bone Collection,,premodern,China,Princeton University,Princeton University,English,"archive,curated collection,visual tools,database",https://library.princeton.edu/resource/44238,open access,"The Princeton Oracle Bones collection (119 pieces), relatively small, is one of several collections assembled by missionary Dr. Frank Herring Chalfant. The oracle bones have been photographed using Reflectance Transformation Imaging (RTI) technology, which enables the end-user to decide upon the angle from which an object is lighted. This allows making all of the carvings on the oracle bones clearly visible.",12/14/2023 2:19pm,
Prosopographic and Social Network Database of the Tang and Five Dynasties,,premodern,China,Nicolas Tackett,Nicolas Tackett,English,data set/statistics,https://history.berkeley.edu/nicolas-tackett,open access,"唐��代人物傳記與社會網絡資料庫(link is external) (1.5版) <tbdb015.accdb> (Prosopographic and Social Network Database of the Tang and Five Dynasties, version 1.5). Updated version of database, now with 39,204 individuals and 5,608 epitaphs. Only this version of the database includes queries associated with the Journal of Chinese History article ""The Evolution of the Tang Political Elite and its Marriage Network."" ",12/14/2023 2:19pm,
READCHINA: The Politics of Reading in the People's Republic of China,,modern,China,University of Freiburg,University of Freiburg,English,"curated collection,research project,network analysis,archive,database",https://readchina.github.io//,open access,"READCHINA investigates the politics and practices of reading in the People’s Republic of China (PRC), their interpretation and their impact on social and intellectual change. The main objective of the study is a reinvestigation of literary history and cultural policy of the PRC from the perspective of the ordinary reader. This grassroots approach means turning away from the established focus on authors and the political context. Instead, READCHINA will investigate the social conditions under which texts were read, what influences this had on the lives of individuals, on social, intellectual and literary change in China, and on the modes of production, distribution and consumption of literature.

READCHINA considers the reading of literature as part of a wider web of reading materials, including different media and non-fictional texts. Primary sources will consist among others of archival material, field work interviews, autobiographies, marketing materials, statements by fans in online forums, and literary texts. Combining literary analysis with historical and ethnographical inquiry, as well as methods from the digital humanities, READCHINA will contribute to the fields of literary history and literary sociology. Moreover, in combining close readings of texts with distant reading methods, READCHINA will also foster our understanding of the meaning and impact of popular literature in China and of literary theories on reading and thus also bring 20th and 21st century China into the global history of reading.",12/14/2023 2:19pm,
Reading Digital Atlas,,"premodern,modern","China,East Asia",Academia Sinica,Academia Sinica,English,"archive,curated collection,visual tools,maps/mapping",https://digitalatlas.asdc.sinica.edu.tw/digitalatlasen/index.jsp,open access,"The website Reading Digital Atlas has archived nearly 300 historical maps of the Ming and Qing Dynasties; these are precious and rare collections located in the Library of Congress and the British Library. With just one simple click, the exquisite details and stories of the maps can be revealed and appreciated. In addition to map analyses elaborated by National Palace Museum’s researcher, Tian-Ren Lin, some of the information is offered in connection with the Library of Congress’ database and provided in English for consultation and reading. The map catalogues, Reading Imperial Cartography: Ming-Qing Historical Maps in the Library of Congress and Reading Antique Cartography: Historical Chinese Maps in the British Library, published by the Center in 2013 and 2015 respectively, can serve as a basis for comparison.",12/14/2023 2:19pm,
Schulich-Woolf Rare Book Collection,,"premodern,modern","China,Japan",Queen's University Library,Queen's University Library,English,"archive,curated collection,visual tools",https://schulichwoolf.omeka.net/using-this-site,open access,"The Schulich-Woolf Rare Book Collection is focused on history and culture as expressed through early modern printing. At its core are the personal collections of Canadian entrepreneur, Seymour Schulich and Queen's Principal, Daniel Woolf. The W.D. Jordan Rare Books and Special Collections is actively adding to the initial 400 volume donation by acquiring 16th-century English printed books. The collection includes documents from Europe and Asia (including China and Japan) and span several centuries.",12/14/2023 2:19pm,
Sidney D. Gamble Photographs of East Asia,,modern,"China,Japan,Korea",Duke University,Duke University,English,"archive,curated collection,database,visual tools",https://library.duke.edu/digitalcollections/gamble/,open access,"This database contains photographs by Sidney Gamble (1890-1968), sociologist and China scholar who photographed everyday life and architecture in China as well as photos that he took of Korea, Japan, Hawaii, Russia and San Francisco. The site also includes an interactive map and filmed documentary of his 1924-1927 voyage.",12/14/2023 2:19pm,
Silk Road Narratives: A Collection of Historical Texts,,premodern,"China,Mongolia,Japan,Korea",University of Washington,University of Washington,English,"curated collection,archive",http://depts.washington.edu/silkroad/texts/texts.html,open access,"Part of the Silk Road Seattle Project, a series of historical sources which may be used in teaching and learning about the Silk Road. Here is an initial list of links to texts which have been digitized and posted on the web already.",12/14/2023 2:19pm,
"Sir John Newell Jordan, 1852-1925 Collection",,modern,China,University of Hong Kong Library,University of Hong Kong Library,English,"visual tools,curated collection,archive",https://digitalrepository.lib.hku.hk/johnjordan,open access,"The Sir John Newell Jordan Collection features a Despatch Book which was presented to Sir John by his staff when he retired at the Peking Legation. The Despatch Book (1906-1920) contains selected Foreign Office correspondence from the archives which recorded Sir John’s work as Minister at the Peking Legation. The Collection also consists of correspondence and manuscripts on decorations & honours, letters of appointments, probate and estate documents, personal documents, and a few of Lady Annie Howe Jordan’s records, spanning from the years 1891-1941. The Collection contains 104 items with over 500 images.",12/14/2023 2:19pm,
Southeast Asia in the Ming Shilu,,premodern,"China,Asia",National University of Singapore / Geoffrey Wade,National University of Singapore / Geoffrey Wade,English,database,http://epress.nus.edu.sg/msl/,open access,"All references to Southeast Asia in the Ming Shi-lu (明實錄) (also known as the Veritable Records of the Ming Dynasty), translated into English",12/14/2023 2:19pm,
Stratagems of the Warring States,,premodern,China,Jennifer Dodgson,Jennifer Dodgson,English,curated collection,https://jenniferdodgson.wixsite.com/warringstates,open access,"English translations of chapters from the Stratagems of the Warring States, annotated with the original Chinese text.",12/14/2023 2:19pm,
Taipei Air Station,,modern,Taiwan,Frank Smith,Frank Smith,English,"archive,curated collection,visual tools",https://taipeiairstation.blogspot.com/2019/11/frank-smiths-photos-of-taipei-area.html,open access,An informal collection of personal photos of the Taipei area in Taiwan by Frank Smith from September 1963. From the 1950s to 1979 Taipei Air Station occupied a small plot of land off Roosevelt Road in the south side of Taipei. On this blog Smith also seeks assistance identifying people and sites in the photograph collections.,12/14/2023 2:19pm,
Taiwan Documents Project,,modern,Taiwan,Taiwan Documents Project,Taiwan Documents Project,English,"archive,bibliography",http://www.taiwandocuments.org/,open access,"Taiwan Documents Project was established in 1999 to provide researchers and other interested persons a comprehensive source of primary material relating to the dispute over Taiwan. The Project seeks not only to gather together the most complete collection of Taiwan-related documents available anywhere, but also to present objective, introductory analyses of legal and other issues surrounding the Taiwan Strait Situation.",12/14/2023 2:19pm,
Taiwan Maps of the Perry-Castañeda Library,,modern,Taiwan,University of Texas at Austin,University of Texas at Austin,English,"archive,curated collection,maps/mapping",https://maps.lib.utexas.edu/maps/taiwan.html,open access,"The Taiwan maps of the Perry-Castañeda Library Map Collection were produced by the U.S. Central Intelligence Agency, unless otherwise indicated.",12/14/2023 2:19pm,
Taiwan Memory,,modern,Taiwan,National Central Library,National Central Library,English,"archive,curated collection,visual tools,database",https://tm.ncl.edu.tw/index?lang=eng,open access,"NCL has a rich collection of Taiwanese historical documents and materials, such as postcards made in Taiwan during the Japanese Colonial Period, old photos of different areas, old books, local historical records, ancient contracts, stone tablets and rubbings, etc. To properly preserve Taiwan’s historical memory in accordance with digital development, NCL established the “Taiwan Memory” system. By establishing the system, NCL has created a digital collection of the historical documents of Taiwan enabling it to analyze and establish interpretative information of the digital materials and thereby fulfill the purpose of sharing and using library resources. In addition, NCL plans to strengthen its coordination with local governmental institutions and private cultural and historical organizations to promote reading and researching in Taiwan and abroad through the easy accessibility of the internet.

The  “Taiwan Memory” system updated its structure in 2016. Presently it has collected more than 267,000 items and more than 2.78 million pages of images, while its digital resources continue to grow.",12/14/2023 2:19pm,
Taiwan National Treasure,,modern,Taiwan,Taiwan National Treasure Foundation,Taiwan National Treasure Foundation,English,"curated collection,archive,database,visual tools",https://www.nationaltreasure.tw/en,open access,"Over the past hundreds of years, countries such as the US and UK have been collecting intelligence records on Taiwan's societal customs, geography, and its people. These records offer a fresh perspective and distinct angle in reviewing the lives and stories that had happened on this island. This project aims to bring these documents within the sight of the public, so that everyone can forge their own stories that were never told before.",12/14/2023 2:19pm,
The Buddhist Digital Archives,,"premodern,modern","Japan,China,Korea,Asia,East Asia",Buddhist Digital Resource Center,Buddhist Digital Resource Center,English,"archive,curated collection,database",https://library.bdrc.io/,partial open access,A cooperative platform for expanding access to Buddhist literature. A database of texts contributed by BDRC and its many partners.,12/14/2023 2:19pm,
The Chiang Ching-kuo Digital Archive,,modern,Taiwan,Academia Historica,Academia Historica,English,"archive,curated collection,database",https://presidentialcck.drnh.gov.tw/index.php?act=Archive,open access,"The Chiang Ching-kuo Digital Archive is a digital library of modern international history. Aimed to build a new understanding of Chiang Ching-kuo (1910-1988) with a series of innovative Web-based tools, it curates more than 50,000 original documents and 10-million-word archival texts from Academia Historica (Guoshiguan) and archives inside and outside Taiwan, ranging from Chiang’s personal correspondence, diary entries, notes, works, chronology, to government documents and online essays. This is more than a collection of primary source material; it is a unique online resource offering insights into a captivating period of modern China and Taiwan.",12/14/2023 2:19pm,
The China Biographical Database Project,,"premodern,modern",China,Harvard University,Harvard University,English,"archive,text mining,network analysis,maps/mapping,database,research project,data set/statistics",https://projects.iq.harvard.edu/cbdb,open access,"The China Biographical Database is a freely accessible relational database with biographical information about approximately 370,000 individuals as of April 2017, primarily from the 7th through 19th centuries. With both online and offline versions, the data is meant to be useful for statistical, social network, and spatial analysis as well as serving as a kind of biographical reference. ",12/14/2023 2:19pm,
The China Collection,,modern,China,Central Intelligence Agency,Central Intelligence Agency,English,"archive,curated collection",https://www.cia.gov/readingroom/collection/china-collection,open access,"This collection of over seventy National Intelligence Estimates on China is the most extensive single selection of intelligence analyses the United States Government ever has released. This recently declassified collection represents the most authoritative intelligence assessments of the United States Government and thus constitutes a unique historical record of a momentous era in China's modern history.

The collection spans the pivotal period from the Chinese civil war and the consolidation of the Communist regime through the upheavals of the Great Leap Forward and Cultural Revolution. It chronicles the struggles within the top leadership, the buildup of the Chinese military, and the evolution of the Sino-Soviet split. With the benefit of hindsight, we now can study the assessments of these developments with a degree of historical perspective, while still feeling the excitement of reading ""history as it happens.""",12/14/2023 2:19pm,
The Chinese Religious Text Authority 宗教書籍規範索引,,"premodern,modern",China,"Katherine Alexander, Marcus Bingenheimer, Daniela Campo, Xinyu Cao, Vincent Goossaert, Philip Clart, Gregory Scott, Huayan Wang","Katherine Alexander, Marcus Bingenheimer, Daniela Campo, Xinyu Cao, Vincent Goossaert, Philip Clart, Gregory Scott, Huayan Wang",English,bibliography,https://crta.info,open access,Presents reliable bibliographic and scholarly information about religious texts in Chinese produced prior to 1949,12/14/2023 2:19pm,
The Digital Etymological Dictionary of Old Chinese 古漢語詞源字典（網絡版）,,premodern,China,The University of Chicago,The University of Chicago,English,database,https://edoc.uchicago.edu/edoc2016/digitaledoc_index.php,open access,The Digital Etymological Dictionary of Old Chinese contains a range of new tools designed to facilitate extensive analyses of the phonology and phonological structures of early Chinese texts.,12/14/2023 2:19pm,
